CD_REFNIS;SectorId;POPULATION;DT_STRT_SECTOR;DT_STOP_SECTOR;OPPERVLAKKTE IN HM²;TX_DESCR_SECTOR_NL;Value
11002;11002G74-;649;01Mar1981;31Dec9999;39,43090145;DEN BRANDT (WILRIJKSPLEIN);1645,917228
11002;11002G75-;124;01Mar1981;31Dec9999;7,087378314;OOSTERVELD (WILRIJKSPEIN);1749,589122
11002;11002G780;182;01Mar1981;31Dec9999;233,0849967;NACHTEGALENPARK(WILRIJKSPLEIN);78,08310385
11002;11002H40-;3841;01Mar1981;31Dec9999;14,74238935;ST.-AMANDUS (NOORDWIJK);26054,12128
11002;11002H41-;4640;01Mar1981;31Dec9999;18,71114941;STUIVENBERG-WEST;24798,04901
11002;11002H43-;4014;01Mar1981;31Dec9999;21,53193795;ST.-JANSPLEIN-TRAPSTR.(N.WIJK);18642,0749
11002;11002H44-;3090;01Mar1981;31Dec9999;13,90010251;STUIVENBERGPLEIN (NOORDWIJK);22230,05189
11002;11002H4MJ;0;01Oct2001;31Dec9999;20,01791185;STATION STUIVENBERG;0
11002;11002H83-;3555;01Mar1981;31Dec9999;21,67199254;SLACHTHUISWIJK (DAM-SCHIJNPOORT);16403,66013
11002;11002H84-;546;01Mar1981;31Dec9999;6,369376782;DAM (DAM - SCHIJNPOORT);8572,267251
11002;11002H8MJ;1;01Oct2001;31Dec9999;43,04065101;DAM- LOBROEKDOK (SCHIJNPOORT);2,323384931
11002;11002J072;569;01Mar1981;31Dec9999;38,37011024;OUDE HAVEN;1482,925111
11002;11002J80-;4084;01Mar1981;31Dec9999;53,46657584;LUCHTBAL-ZUID;7638,416966
11002;11002J81-;2822;01Mar1981;31Dec2018;62,13913527;LUCHTBAL-NOORD;4541,421421
11002;11002J820;1084;01Mar1981;31Dec9999;46,6251207;IJZERLAAN (DAM - SCHIJNPORT);2324,926957
11002;11002J83-;1252;01Mar1981;31Dec9999;9,720299258;DUBOISSTRAAT (NOORDWIJK);12880,26188
11002;11002J84-;363;01Mar1981;31Dec9999;24,1160879;WILLEMDOK (SPAANSE WALLEN);1505,21926
11002;11002J85-;2707;01Mar1981;31Dec9999;31,29987545;T EILANDJE;8648,596716
11002;11002J873;8;01Mar1981;31Dec9999;105,780406;HOUTDOK;7,5628373
11002;11002J881;0;01Mar1981;31Dec2018;100,9589447;POLDER (EKEREN);0
11002;11002J901;758;01Mar1981;31Dec2018;11,57776319;SCHOONBROEK HANDBOOG;6547,033201
11002;11002J912;1301;01Mar1981;31Dec2018;17,12594515;GR.HAGELKRUIS-L. BAEKELANDSTR.;7596,661023
11002;11002J923;773;01Mar1981;31Dec2018;20,02910142;SCHOONBROEK - TWEEKRONEN;3859,384322
11002;11002J932;1662;01Mar1981;31Dec2018;40,74791813;DONKSE BEEK (EKEREN);4078,735986
11002;11002J94-;184;01Mar1981;31Dec2018;8,048060372;LEUGENBERG-ZUID (EKEREN);2286,265156
11002;11002K171;41;01Mar1981;31Dec9999;603,9975482;ALBERTDOK;6,788107025
11002;11002K172;0;01Mar1981;31Dec9999;896,9357801;MARSHALL-EN INDUSTRIEDOK ESSO;0
11002;11002K173;7;01Mar1981;31Dec9999;909,8985487;LEOPOLDDOK FORD-FABRIEKEN;0,769316536
11002;11002K174;2;01Mar1981;31Dec2018;226,1000535;LUITHAGEN FORD-FABRIEKEN;0,884564143
11002;11002K175;3;01Mar1981;31Dec9999;834,5456701;CHURCHILLDOK-G. M. CONTIN.;0,359477031
11002;11002K1MN;0;01Oct2001;31Dec2018;1042,352315;WALENHOEK ANTWERPEN-NOORD (VORMINGSSTATION);0
11002;11002K214;41;01Mar1981;31Dec9999;13,02820093;LILLO - FORT;314,7019318
11002;11002K271;0;01Mar1981;31Dec9999;1225,782166;DISTRICT LILLO TUNNEL-NOORD;0
11002;11002K272;0;01Mar1981;31Dec9999;158,6891024;DISTRICT LILLO TUNNEL-ZUID;0
11002;11002K2MN;0;01Oct2001;31Dec9999;73,01357208;DISTRICT LILLO TUNNEL-ZUID;0
11002;11002L000;2071;01Mar1981;31Dec9999;134,2153794;ZANDVLIET-KERN(ZANDVL.-5 DIST);1543,042243
11002;11002L011;1380;01Mar1981;31Dec9999;69,00822341;STALSHOEK(ZANDVLIET-5 DISTR. );1999,761669
11002;11002L022;177;01Mar1981;31Dec9999;54,99546719;GROTE RUIGEHEIDE(ZANDVL.-5DIS);321,8447066
11002;11002L070;0;01Mar1981;31Dec9999;960,4229747;HAVENGEBIED (ZANDVLIET-5 DIS);0
11002;11002L090;209;01Mar1981;31Dec9999;510,9281773;NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT);40,90594516
11002;11002L100;2836;01Mar1981;31Dec9999;208,2033864;BERENDRECHT - KERN (BERENDRECHT - 4 DISTRICT);1362,129622
11002;11002L111;1029;01Mar1981;31Dec9999;106,4763123;STEENHOVENSTRAAT (BERENDRECHT - 4 DISTRICT);966,4121322
11002;11002L122;2097;01Mar1981;31Dec9999;147,0773695;VISWATER(BERENDRECHT - 4 DIST);1425,780191
11002;11002L17-;0;01Mar1981;31Dec9999;398,5428044;HAVENGEBIED(BERENDRECHT - 4 D);0
11002;11002L18-;67;01Mar1981;31Dec9999;164,1514715;KRAAIENBERG(BERENDRECHT - 4 D);40,81596064
11002;11002M0MA;0;01Oct2001;31Dec9999;22,94523167;SCHELDE - CONTAINERTERMINAL;0
11002;11002M0PA;0;01Oct2001;31Dec9999;1632,076251;SCHELDE;0
11002;11002P00-;1620;01Jan1983;31Dec9999;25,54004379;EKEREN-CENTRUM;6342,98051
11002;11002P01-;2175;01Jan1983;31Dec9999;31,15057634;EKEREN-DORP;6982,214314
11002;11002P02-;1499;01Jan1983;31Dec9999;30,41333343;SCHOONBROEK;4928,7593
11002;11002P03-;2852;01Jan1983;31Dec9999;48,74505338;DE GEESTEN;5850,85009
11002;11002P04-;2491;01Jan1983;31Dec9999;48,5479448;HET ZAND;5131,0102
11002;11002P05-;755;01Jan1983;31Dec9999;22,51006708;LEERHOEKSLAAN;3354,054865
11002;11002P09-;0;01Jan1983;31Dec9999;13,83545804;VELTWIJCK;0
11002;11002P100;2244;01Jan1983;31Dec9999;48,9172419;MARIABURG;4587,339582
